Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM722668	0	0.00754751547279756	0	0.18070838359027	0.0427894845501431	0	0	0	0	0	0.254226692141328	0.0405340253375963	0.135129789968438	0.0214237119919985	0.0207865684936531	0.0939177028168208	0	0	0.154979195501284	0	0	0.0479569301356715	0.078	0.121551641818217	1.07297939875563
GSM722669	0.0356592540454614	0	0.0349248289514832	0.187829022209451	0.138256234082434	0	0	0.0666176837932515	0	0.0512649267796198	0.101413749782537	0	0.0521251001728192	0.0207913626099891	0.0219657968747856	0.101813426543605	0	0	0.146931228572718	0	0	0.0404073855818457	0.935	-0.0376714766443303	1.10753811065145
GSM722670	0.0353238574082509	0	0.0632742053782691	0	0	0.25553224708911	0.0302699576623661	0.0151397789544124	0	0.0150449967065243	0.0161748555374575	0	0.0737529890998611	0	0.052732605819287	0.21914741628044	0	0	0.199569534830642	0	0	0.0240375552333797	0.796	-0.0219924146353633	1.07916147707463
GSM722671	0	0.00480458002184658	0	0.122525087675121	0.0447710029048292	0.0772367114862329	0.0355393197340559	0	0	0	0.271602822036963	0.0135553434641777	0.130730278760044	0.00116652196880673	0.016176827797428	0.0738084852363206	0	0	0.136955627337762	0	0	0.0711273915764139	0.0649999999999999	0.13863409535465	1.05999783463758
GSM722672	0.0577842110798547	0	0.0436078650928527	0.371056908582002	0.0401811169417017	0	0	0.00934529062420213	0	0	0.0858257122144215	0	0.0589309932874806	0	0.0711104336884539	0.0690150020202903	0	0.0098703284498434	0.0774544115721664	0	0	0.105817726446731	0.935	-0.0374998804807267	1.12319557502418
GSM722673	0.0106147906671803	0	0.025187561300853	0.0377666096966388	0	0.289880509898973	0	0.00491525539409988	0	0.0881530043990731	0	0	0.145356009885585	0	0.0257978701960439	0.225983181704783	0	0.00566952705757704	0.123671838680083	0.0170038411191103	0	0	0.818	-0.024448980452802	1.09145774786559
GSM722674	0	0.0161012984978264	0	0.124787254569392	0	0.112070510606818	0.0240990716531739	0	0	0	0.219194919136568	0.0560413512622829	0.128684988124526	0.0176617435692209	0.0220203420142677	0.0852551132720228	0	0	0.140585130372342	0	0	0.0534982769215592	0.084	0.110401974202225	1.07101124550328
GSM722675	0	0.0387216288185766	0	0.147707580708878	0	0.115234953312767	0.00608150819510644	0	0	0	0.244756662226223	0.00925158144935494	0.125607595103792	0.000159467778479683	0.0228651593123987	0.103861626976627	0	0	0.139117551027391	0	0	0.0466346850904064	0.084	0.109895132291577	1.06515645955093
GSM722676	0.126701393463076	0	0.0225001484836666	0.307017290760276	0	0	0.00181255052822039	0	0	0.2872720606979	0	0	0.117745244918109	0	0	0.059164794051267	0	0.0651813832597045	0.0126051338377805	0	0	0	0.891	-0.0316162746210773	1.15606358213574
GSM722677	0.0717315050220533	0	0	0.0779100015549929	0	0	0	0.095669538007507	0.0046939674612051	0.300899553773863	0	0	0.0204575200061626	0	0.0150338403105906	0.161051886636293	0	0.123411444438679	0.0786499659133605	0	0.0199706614574607	0.0305201154178329	0.951	-0.0407299686034243	1.11812001489971
